Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
29-05-2026,1.0,22880.55,3185.4,2850.1,2850.1,10000.0,10000.0
29-05-2026,2.0,20697.03,3388.1,2917.4,2917.4,10000.0,10000.0
29-05-2026,3.0,14711.88,4439.9,3855.4,3855.4,10000.0,10000.0
29-05-2026,4.0,11313.68,6426.95,3877.28,3877.28,5148.43,5143.81
29-05-2026,5.0,11603.38,7528.15,4513.95,4513.95,5022.49,5021.83
29-05-2026,6.0,11042.53,7650.95,4332.43,4332.43,4441.94,4444.99
29-05-2026,7.0,10151.45,8745.95,4767.15,4767.15,4123.17,4125.21
29-05-2026,8.0,8707.75,17013.05,6182.38,6182.38,2512.73,2504.01
29-05-2026,9.0,9427.98,31811.3,7022.66,7022.66,1332.06,1343.09
29-05-2026,10.0,12060.25,38875.38,9030.73,9030.73,1560.14,1560.13
29-05-2026,11.0,11850.05,41885.3,9358.48,9358.48,1730.41,1742.49
29-05-2026,12.0,12151.75,44092.13,10241.08,10241.08,1822.69,1823.17
29-05-2026,13.0,10767.78,43472.45,9571.73,9571.73,1632.54,1633.26
29-05-2026,14.0,9920.93,41394.78,8751.38,8751.38,1579.21,1579.45
29-05-2026,15.0,12281.03,32781.73,9842.83,9842.83,2353.7,2356.14
29-05-2026,16.0,12936.9,22339.55,8850.73,8850.73,3269.17,3261.34
29-05-2026,17.0,13343.13,16222.85,8323.79,8323.79,3521.59,3520.5
29-05-2026,18.0,12441.63,11213.6,7939.9,7939.9,4789.74,4774.89
29-05-2026,19.0,12874.65,8247.33,6884.73,6884.73,6667.99,6565.42
29-05-2026,20.0,21547.15,5024.9,4216.0,4216.0,10000.0,10000.0
29-05-2026,21.0,27416.6,4195.33,3386.43,3386.43,10000.0,10000.0
29-05-2026,22.0,28202.13,4089.9,3281.0,3281.0,10000.0,10000.0
29-05-2026,23.0,29385.43,3469.63,2660.72,2660.72,10000.0,10000.0
29-05-2026,24.0,29162.35,3057.98,2569.87,2569.87,10000.0,10000.0
Sum,,376877.99,410552.59,145228.15,145228.15,131508.0,131399.73
Average,,15703.25,17106.36,6051.17,6051.17,5479.5,4178.35
