Date,Hour,Purchase Bid (MWh),Sell Bid Total (MWh),Sell Bid Solar (MWh),Sell Bid Non-Solar (MWh),Sell Bid Hydro (MWh),MCV Total (MWh),MCV Solar (MWh),MCV Non-Solar (MWh),MCV Hydro (MWh),FSV Total (MWh),FSV Solar (MWh),FSV Non-Solar (MWh),FSV Hydro (MWh),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
29-05-2026,1.0,5537.28,872.35,26.0,827.28,19.08,672.35,26.0,627.27,19.08,672.35,26.0,627.27,19.08,10000.0,10000.0
29-05-2026,2.0,5127.45,840.98,26.0,797.48,17.5,640.97,26.0,597.47,17.5,640.97,26.0,597.47,17.5,10000.0,10000.0
29-05-2026,3.0,3323.8,842.98,26.0,799.48,17.5,642.97,26.0,599.47,17.5,642.97,26.0,599.47,17.5,10000.0,10000.0
29-05-2026,4.0,2826.35,873.73,26.0,830.23,17.5,673.72,26.0,630.22,17.5,673.72,26.0,630.22,17.5,10000.0,10000.0
29-05-2026,5.0,2616.2,929.18,25.0,864.18,40.0,458.47,25.0,393.47,40.0,458.47,25.0,393.47,40.0,8849.49,8869.59
29-05-2026,6.0,2430.4,1823.93,13.35,1716.58,94.0,745.5,13.1,638.4,94.0,745.5,13.1,638.4,94.0,7000.43,7000.43
29-05-2026,7.0,2742.33,1829.83,307.18,1428.65,94.0,948.1,243.89,610.21,94.0,948.1,243.89,610.21,94.0,6574.98,6460.58
29-05-2026,8.0,4189.25,2912.93,1687.33,1106.6,119.0,1604.27,1028.68,479.1,96.5,1604.27,1028.68,479.1,96.5,3425.17,3261.66
29-05-2026,9.0,5366.75,3650.95,2866.58,675.38,109.0,2336.03,1856.07,400.96,79.0,2336.03,1856.07,400.96,79.0,2234.6,2216.71
29-05-2026,10.0,7568.43,3351.25,2847.45,409.8,94.0,2211.85,1809.87,327.98,74.0,2211.85,1809.87,327.98,74.0,2401.77,2400.01
29-05-2026,11.0,7358.38,2506.2,2093.7,345.5,67.0,2084.35,1706.84,310.51,67.0,2084.35,1706.84,310.51,67.0,2315.34,2315.26
29-05-2026,12.0,6876.63,2902.58,2245.03,590.55,67.0,2446.48,1969.6,409.88,67.0,2446.48,1969.6,409.88,67.0,2335.72,2333.37
29-05-2026,13.0,6215.6,3146.68,2436.88,642.8,67.0,2563.42,2098.82,397.6,67.0,2563.42,2098.82,397.6,67.0,2225.26,2215.76
29-05-2026,14.0,5881.45,3502.03,2783.93,651.1,67.0,2845.35,2378.23,400.12,67.0,2845.35,2378.23,400.12,67.0,2111.39,2109.52
29-05-2026,15.0,6480.25,2785.33,2229.33,458.25,97.75,2340.2,1893.39,377.82,69.0,2340.2,1893.39,377.82,69.0,2865.15,2874.25
29-05-2026,16.0,6024.55,2482.33,2035.8,346.53,100.0,1711.77,1342.34,300.42,69.0,1711.77,1342.34,300.42,69.0,3546.76,3544.43
29-05-2026,17.0,5532.6,2897.8,2509.88,312.93,75.0,1653.21,1333.94,250.28,69.0,1653.21,1333.94,250.28,69.0,3702.66,3702.14
29-05-2026,18.0,4385.3,2764.0,2379.8,315.2,69.0,1480.37,1191.2,220.18,69.0,1480.37,1191.2,220.18,69.0,3885.77,3755.52
29-05-2026,19.0,4256.78,2038.63,1382.0,613.63,43.0,1244.37,709.39,491.98,43.0,1244.37,709.39,491.98,43.0,8624.41,8363.46
29-05-2026,20.0,4213.05,528.58,48.55,462.03,18.0,528.57,48.55,462.02,18.0,528.57,48.55,462.02,18.0,10000.0,10000.0
29-05-2026,21.0,5946.95,479.33,18.0,443.33,18.0,479.32,18.0,443.33,18.0,479.32,18.0,443.33,18.0,10000.0,10000.0
29-05-2026,22.0,6173.0,495.73,18.0,459.73,18.0,495.72,18.0,459.72,18.0,495.72,18.0,459.72,18.0,10000.0,10000.0
29-05-2026,23.0,6313.9,536.13,18.0,500.13,18.0,536.12,18.0,500.13,18.0,536.12,18.0,500.13,18.0,10000.0,10000.0
29-05-2026,24.0,6200.33,511.45,18.0,475.45,18.0,511.44,18.0,475.44,18.0,511.44,18.0,475.44,18.0,10000.0,10000.0
Sum,,123587.01,45504.91,28067.79,16072.82,1364.33,31854.92,19824.91,10803.98,1226.08,31854.92,19824.91,10803.98,1226.08,152098.9,151422.69
Average,,5149.46,1896.04,1169.49,669.7,56.85,1327.29,826.04,450.17,51.09,1327.29,826.04,450.17,51.09,6337.45,4396.15
