Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
28-05-2026,0.0,40996.05,4007.5,4007.5,4007.5,10000.0,10000.0
28-05-2026,1.0,26973.7,4493.25,4493.25,4493.25,10000.0,10000.0
28-05-2026,2.0,16751.45,7869.0,7869.0,6727.12,10000.0,10000.0
28-05-2026,3.0,11982.33,7586.3,7586.3,5660.39,10000.0,10000.0
28-05-2026,4.0,8089.23,7287.8,5815.4,5713.53,4288.19,4302.23
28-05-2026,5.0,9023.15,7208.13,6231.41,6231.41,4937.69,4919.16
28-05-2026,6.0,7539.63,7844.63,6025.66,6025.66,3584.65,3557.44
28-05-2026,7.0,6631.3,13026.68,6439.19,6439.19,2212.33,2212.81
28-05-2026,8.0,7273.78,20493.48,7169.67,7169.67,1304.5,1295.74
28-05-2026,9.0,7321.13,25936.28,7318.58,7318.58,381.43,393.82
28-05-2026,10.0,8533.73,28378.48,8423.35,8423.35,1195.8,1229.6
28-05-2026,11.0,8268.08,27156.15,7888.94,7888.94,1843.43,1854.02
28-05-2026,12.0,8754.85,25342.83,7622.58,7622.58,2225.15,2232.49
28-05-2026,13.0,9249.73,23109.55,7909.25,7909.25,2782.38,2788.45
28-05-2026,14.0,11264.75,19216.28,9235.79,9235.79,3367.56,3371.93
28-05-2026,15.0,12438.53,15476.78,10091.96,10091.96,3689.36,3687.77
28-05-2026,16.0,10591.75,11772.5,8716.9,8716.9,3783.31,3782.18
28-05-2026,17.0,9284.53,10198.05,7860.72,7860.72,3432.02,3432.42
28-05-2026,18.0,8233.15,8185.0,6417.69,6417.69,4374.96,4347.73
28-05-2026,19.0,12275.73,8273.2,8093.44,8093.44,8751.49,8663.97
28-05-2026,20.0,10303.75,7784.5,7132.95,7132.95,7489.01,7528.93
28-05-2026,21.0,7381.78,7992.78,6514.21,6514.21,3874.81,3861.35
28-05-2026,22.0,8680.13,7959.05,6732.63,6732.63,4435.67,4449.41
28-05-2026,23.0,9324.15,7359.25,6313.78,6313.78,5473.38,5449.52
Sum,,277166.39,313957.45,171910.15,168740.49,113427.12,113360.97
Average,,11548.6,13081.56,7162.92,7030.85,4726.13,4418.52
